searchSteps,timeToFinishWeight,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
1,1.8,krys,13,true,1.00,5414,285,5412,164,568327,3024
1,1.8,krys,14,true,1.00,7394,319,7393,224,741048,2567
1,1.8,krys,15,true,1.00,8199,305,8198,248,939903,2994
1,1.8,patternCount,1,false,0.92,10727,338,10727,338,1243910,3178
1,1.8,patternCount,2,true,1.00,31,362,27,1,2678,336
1,1.8,patternCount,3,true,1.00,8024,358,8023,243,903900,1696
1,1.8,patternCount,4,true,1.00,797,364,793,24,86246,886
1,1.8,patternCount,5,true,1.00,660,362,657,20,77343,1868
1,1.8,patternCount,6,true,1.00,29,344,26,1,2758,922
1,1.8,patternCount,7,true,1.00,32,344,28,1,3092,420
1,1.8,patternCount,8,true,1.00,8785,358,8783,266,1076592,2726
1,1.8,patternCount,9,true,1.00,1881,342,1879,57,223330,1219
1,1.8,patternCount,10,true,1.00,32,341,29,1,3177,581
1,1.8,patternCount,11,true,1.00,7160,385,7158,217,778247,1305
1,1.8,patternCount,12,true,1.00,2706,338,2703,82,311990,2377
1,1.8,patternCount,13,true,1.00,167,326,165,5,18008,1844
1,1.8,patternCount,14,true,1.00,35,337,32,1,3650,1051
1,1.8,patternCount,15,true,1.00,1588,350,1584,48,165896,818
1,2.0,original,1,true,1.00,34,352,31,1,2769,1215
1,2.0,original,2,true,1.00,1851,292,1850,56,168157,1111
1,2.0,original,3,false,0.54,3673,124,3668,124,452523,1155
